                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2171,                 1.7186,                0.83138,                0.19811,                0.22712,                0.22141,                0.14103,                 1.0968,                    inf,                0.80883,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3423,                0.79702,                0.82834,                0.65355,                0.47879,                0.39397,                0.20445,                 1.3819,                    inf,                0.83939,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2071,                0.77365,                0.81365,                0.61643,                0.44559,                 0.4032,                0.23979,                 1.1127,                  2.571,                0.81375,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2719,                  0.743,                0.82059,                0.80604,                0.51727,                0.61673,                0.36669,                 1.1244,                0.91503,                0.81539,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2506,                0.73699,                0.82056,                0.64329,                0.44027,                0.51097,                0.30132,                 1.2558,                0.82159,                0.82628,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1481,                0.60528,                0.80876,                0.80058,                0.48053,                0.63602,                0.33053,                 1.2051,                0.69118,                0.82325,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1113,                0.56959,                0.80279,                 0.7159,                 0.6061,                0.72349,                0.44474,                 1.1092,                 0.5317,                 0.8164,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0814,                0.55945,                0.80127,                0.73575,                0.61228,                0.61507,                  0.385,                 1.1273,                0.58432,                0.81742,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0831,                0.55881,                0.80324,                0.77832,                0.58425,                0.64653,                0.39277,                 1.0664,                0.59973,                0.80991,               0.001151,               0.001151,               0.001151
                     10,                 1.0987,                0.57042,                0.80332,                0.74249,                0.65636,                0.69765,                0.41779,                 1.0241,                0.55076,                0.81355,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0417,                0.53019,                0.79976,                0.73602,                0.65833,                0.71693,                0.43941,                 1.1874,                0.58688,                 0.8214,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1557,                0.59003,                0.80648,                0.80526,                0.50701,                0.55348,                0.34283,                 1.1181,                 0.6148,                 0.8194,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0769,                0.55715,                0.80317,                0.88402,                0.67528,                0.77404,                0.48937,                0.96923,                0.48966,                0.80557,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0068,                 0.5007,                0.79793,                 0.9349,                0.64291,                0.76549,                0.50286,                0.91136,                0.46123,                 0.8012,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0076,                 0.4927,                0.79719,                0.88265,                0.62809,                0.73951,                0.46332,                0.94277,                0.48345,                0.80406,              0.0010768,              0.0010768,              0.0010768
                     16,                0.96396,                0.48067,                0.79623,                0.78532,                0.72047,                0.77337,                 0.5002,                0.91529,                0.44837,                 0.8033,              0.0010644,              0.0010644,              0.0010644
                     17,                0.96485,                0.48233,                0.79286,                0.79329,                0.70377,                0.71612,                0.47095,                0.94069,                0.46179,                0.79902,               0.001052,               0.001052,               0.001052
                     18,                0.97122,                0.46955,                0.79033,                0.88332,                0.72654,                 0.7781,                0.48139,                 1.0704,                0.48332,                0.80895,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.015,                0.48796,                0.79757,                 0.9191,                0.69549,                0.78568,                0.52529,                0.91732,                0.43227,                0.80118,              0.0010273,              0.0010273,              0.0010273
                     20,                 0.9321,                 0.4514,                0.79065,                0.92553,                0.70637,                0.78549,                0.53112,                0.89092,                0.42905,                0.79985,              0.0010149,              0.0010149,              0.0010149
                     21,                0.90013,                0.44151,                 0.7897,                0.93843,                0.65584,                  0.755,                0.50231,                0.88042,                0.45195,                0.79867,              0.0010025,              0.0010025,              0.0010025
                     22,                0.91732,                0.44909,                0.78998,                0.85953,                0.72266,                  0.786,                0.51027,                0.89499,                 0.4362,                0.79963,             0.00099013,             0.00099013,             0.00099013
                     23,                0.90247,                 0.4416,                0.78937,                0.92227,                0.67163,                0.76896,                0.52751,                0.85427,                0.44098,                0.79643,             0.00097775,             0.00097775,             0.00097775
                     24,                0.89142,                0.43123,                0.78626,                0.84774,                0.72791,                0.78667,                0.53253,                0.83528,                0.40768,                0.79691,             0.00096537,             0.00096537,             0.00096537
                     25,                 0.8743,                0.42071,                0.78803,                 0.8997,                0.73909,                0.81646,                 0.5422,                0.84159,                0.41221,                0.79872,               0.000953,               0.000953,               0.000953
                     26,                0.88701,                0.43279,                0.78954,                0.86899,                 0.7319,                0.77658,                0.50232,                0.86402,                0.43922,                0.79949,             0.00094062,             0.00094062,             0.00094062
                     27,                0.87577,                0.42852,                0.78619,                0.94332,                0.72816,                 0.8098,                0.53185,                0.84963,                 0.4236,                0.79606,             0.00092825,             0.00092825,             0.00092825
                     28,                0.87594,                0.43009,                0.78841,                0.86833,                0.71019,                0.78067,                0.50728,                0.84936,                0.42971,                0.79744,             0.00091588,             0.00091588,             0.00091588
                     29,                0.88878,                0.43076,                0.78689,                0.91443,                0.74673,                0.80777,                0.54015,                0.85092,                0.41455,                0.79876,              0.0009035,              0.0009035,              0.0009035
                     30,                0.87363,                0.42187,                0.78785,                0.87599,                0.71102,                0.77726,                0.51552,                 0.8656,                0.42692,                0.79773,             0.00089112,             0.00089112,             0.00089112
                     31,                0.87931,                0.42323,                0.78517,                0.92236,                0.65512,                0.73869,                0.50791,                0.84632,                0.41938,                0.79736,             0.00087875,             0.00087875,             0.00087875
                     32,                0.86152,                0.41283,                0.78414,                0.87923,                0.70093,                0.78221,                0.52481,                 0.8377,                0.41673,                0.79532,             0.00086637,             0.00086637,             0.00086637
                     33,                0.88007,                0.42223,                0.78661,                0.85117,                0.73666,                0.79403,                0.53225,                0.86839,                0.44396,                0.79754,               0.000854,               0.000854,               0.000854
                     34,                0.82836,                0.39909,                0.78716,                0.90137,                0.74329,                0.80333,                0.54099,                0.79161,                0.41344,                0.79334,             0.00084162,             0.00084162,             0.00084162
                     35,                0.85473,                0.40532,                0.78452,                0.93008,                0.72395,                0.82134,                0.56386,                0.80431,                0.39859,                0.79396,             0.00082925,             0.00082925,             0.00082925
                     36,                0.82591,                0.39822,                0.78303,                 0.9277,                0.74625,                0.80348,                0.55086,                0.82654,                 0.4024,                0.79518,             0.00081688,             0.00081688,             0.00081688
